año,tipo,valor
2004,numero,19
2004,numero,44
2004,numero,12
2004,numero,42
2004,numero,15
2004,estrella,11
2004,estrella,3
2004,numero,15
2004,numero,42
2004,numero,47
2004,numero,12
2004,numero,9
2004,estrella,2
2004,estrella,9
2004,numero,14
2004,numero,48
2004,numero,19
2004,numero,2
2004,numero,28
2004,estrella,3
2004,estrella,11
2004,numero,39
2004,numero,1
2004,numero,18
2004,numero,10
2004,numero,6
2004,estrella,5
2004,estrella,8
2004,numero,48
2004,numero,28
2004,numero,9
2004,numero,17
2004,numero,23
2004,estrella,4
2004,estrella,8
2004,numero,49
2004,numero,36
2004,numero,37
2004,numero,28
2004,numero,43
2004,estrella,6
2004,estrella,7
2004,numero,41
2004,numero,21
2004,numero,42
2004,numero,8
2004,numero,23
2004,estrella,10
2004,estrella,11
2004,numero,17
2004,numero,45
2004,numero,29
2004,numero,36
2004,numero,40
2004,estrella,12
2004,estrella,3
2004,numero,29
2004,numero,44
2004,numero,47
2004,numero,35
2004,numero,12
2004,estrella,5
2004,estrella,4
2004,numero,12
2004,numero,34
2004,numero,23
2004,numero,17
2004,numero,24
2004,estrella,8
2004,estrella,5
2004,numero,39
2004,numero,18
2004,numero,26
2004,numero,9
2004,numero,37
2004,estrella,8
2004,estrella,9
2004,numero,16
2004,numero,37
2004,numero,13
2004,numero,45
2004,numero,24
2004,estrella,3
2004,estrella,2
2004,numero,28
2004,numero,42
2004,numero,41
2004,numero,30
2004,numero,25
2004,estrella,1
2004,estrella,7
2004,numero,3
2004,numero,15
2004,numero,10
2004,numero,32
2004,numero,45
2004,estrella,8
2004,estrella,11
2004,numero,17
2004,numero,11
2004,numero,47
2004,numero,27
2004,numero,48
2004,estrella,5
2004,estrella,6
2004,numero,13
2004,numero,46
2004,numero,41
2004,numero,24
2004,numero,34
2004,estrella,12
2004,estrella,11
2004,numero,9
2004,numero,46
2004,numero,39
2004,numero,16
2004,numero,47
2004,estrella,8
2004,estrella,4
2004,numero,40
2004,numero,3
2004,numero,38
2004,numero,45
2004,numero,23
2004,estrella,10
2004,estrella,12
2004,numero,22
2004,numero,12
2004,numero,19
2004,numero,13
2004,numero,11
2004,estrella,11
2004,estrella,9
2004,numero,8
2004,numero,15
2004,numero,11
2004,numero,5
2004,numero,28
2004,estrella,11
2004,estrella,10
2004,numero,36
2004,numero,35
2004,numero,45
2004,numero,3
2004,numero,29
2004,estrella,6
2004,estrella,11
2004,numero,6
2004,numero,34
2004,numero,1
2004,numero,9
2004,numero,20
2004,estrella,2
2004,estrella,7
2004,numero,20
2004,numero,18
2004,numero,37
2004,numero,39
2004,numero,45
2004,estrella,2
2004,estrella,8
2004,numero,34
2004,numero,24
2004,numero,3
2004,numero,1
2004,numero,21
2004,estrella,6
2004,estrella,3
2004,numero,32
